Year,Month,Entry Type,Tax Type,Amount
1987,August,Actual Outturn,Income Tax,243734
1987,August,Actual Outturn,Corporation Tax,48994
1987,August,Actual Outturn,Valued Added Tax,107829
1987,August,Actual Outturn,Training and Employment Levy,12531
1987,August,Actual Outturn,Motor Vehicle Duties,13489
1987,September,Actual Outturn,Customs,9269
1987,September,Actual Outturn,Excise Duty,145624
1987,September,Actual Outturn,Capital Gains Tax,3251
1987,September,Actual Outturn,Stamps,46574
1987,September,Actual Outturn,Income Tax,263660
1987,September,Actual Outturn,Corporation Tax,27214
1987,September,Actual Outturn,Valued Added Tax,221009
1987,September,Actual Outturn,Training and Employment Levy,807
1987,September,Actual Outturn,Motor Vehicle Duties,14189
1987,October,Actual Outturn,Customs,10793
1987,October,Actual Outturn,Excise Duty,152414
1987,October,Actual Outturn,Capital Gains Tax,6938
1987,October,Actual Outturn,Stamps,14189
1987,October,Actual Outturn,Income Tax,465090
1987,October,Actual Outturn,Corporation Tax,28281
1987,October,Actual Outturn,Valued Added Tax,104163
1987,October,Actual Outturn,Training and Employment Levy,11978
1987,October,Actual Outturn,Motor Vehicle Duties,11148
1987,November,Actual Outturn,Customs,11682
1987,November,Actual Outturn,Excise Duty,142362
1987,November,Actual Outturn,Capital Gains Tax,4664
1987,November,Actual Outturn,Stamps,18882
1987,November,Actual Outturn,Income Tax,331515
1987,November,Actual Outturn,Corporation Tax,34901
1987,November,Actual Outturn,Valued Added Tax,255677
1987,November,Actual Outturn,Training and Employment Levy,19614
1987,November,Actual Outturn,Motor Vehicle Duties,13358
1987,December  ,Actual Outturn,Customs,4571
1987,December  ,Actual Outturn,Excise Duty,219187
1987,December  ,Actual Outturn,Capital Gains Tax,2966
1987,December  ,Actual Outturn,Stamps,9844
1987,December  ,Actual Outturn,Income Tax,296250
1987,December  ,Actual Outturn,Corporation Tax,9933
1987,December  ,Actual Outturn,Valued Added Tax,103639
1987,December  ,Actual Outturn,Training and Employment Levy,16017
1987,December  ,Actual Outturn,Motor Vehicle Duties,17026
1988,January,Actual Outturn,Customs,7999
1988,January,Actual Outturn,Excise Duty,114779
1988,January,Actual Outturn,Capital Gains Tax,4850
1988,January,Actual Outturn,Stamps,16918
1988,January,Actual Outturn,Income Tax,291429
1988,January,Actual Outturn,Corporation Tax,20044
1988,January,Actual Outturn,Valued Added Tax,277551
1988,January,Actual Outturn,Training and Employment Levy,10265
1988,January,Actual Outturn,Motor Vehicle Duties,14528
1988,February,Actual Outturn,Customs,10666
1988,February,Actual Outturn,Excise Duty,105454
1988,February,Actual Outturn,Capital Gains Tax,3694
1988,February,Actual Outturn,Stamps,19671
1988,February,Actual Outturn,Income Tax,256135
1988,February,Actual Outturn,Corporation Tax,14018
1988,February,Actual Outturn,Valued Added Tax,101010
1988,February,Actual Outturn,Training and Employment Levy,9873
1988,February,Actual Outturn,Motor Vehicle Duties,17128
1988,March,Actual Outturn,Customs,9523
1988,March,Actual Outturn,Excise Duty,187865
1988,March,Actual Outturn,Capital Gains Tax,3650
1988,March,Actual Outturn,Stamps,21765
1988,March,Actual Outturn,Income Tax,265872
1988,March,Actual Outturn,Corporation Tax,18429
1988,March,Actual Outturn,Valued Added Tax,202314
1988,March,Actual Outturn,Training and Employment Levy,10212
1988,March,Actual Outturn,Motor Vehicle Duties,16595
1988,April,Actual Outturn,Customs,8634
1988,April,Actual Outturn,Excise Duty,137241
1988,April,Actual Outturn,Capital Gains Tax,3720
1988,April,Actual Outturn,Stamps,10280
1988,April,Actual Outturn,Income Tax,367904
1988,April,Actual Outturn,Corporation Tax,13821
1988,April,Actual Outturn,Valued Added Tax,130767
1988,April,Actual Outturn,Training and Employment Levy,10401
1988,April,Actual Outturn,Motor Vehicle Duties,14012
1988,May,Actual Outturn,Customs,10412
1988,May,Actual Outturn,Excise Duty,160561
1988,May,Actual Outturn,Capital Gains Tax,4875
1988,May,Actual Outturn,Stamps,16477
1988,May,Actual Outturn,Income Tax,293575
1988,May,Actual Outturn,Corporation Tax,24263
1988,May,Actual Outturn,Valued Added Tax,246419
1988,May,Actual Outturn,Training and Employment Levy,14182
1988,May,Actual Outturn,Motor Vehicle Duties,17529
1988,June,Actual Outturn,Customs,11809
1988,June,Actual Outturn,Excise Duty,151197
1988,June,Actual Outturn,Capital Gains Tax,6544
1988,June,Actual Outturn,Stamps,15029
1988,June,Actual Outturn,Income Tax,281051
1988,June,Actual Outturn,Corporation Tax,32865
1988,June,Actual Outturn,Valued Added Tax,96410
1988,June,Actual Outturn,Training and Employment Levy,12580
1988,June,Actual Outturn,Motor Vehicle Duties,13949
1988,July,Actual Outturn,Customs,18030
1988,July,Actual Outturn,Excise Duty,159532
1988,July,Actual Outturn,Capital Gains Tax,8390
1988,July,Actual Outturn,Stamps,14252
1988,July,Actual Outturn,Income Tax,271555
1988,July,Actual Outturn,Corporation Tax,52558
1988,July,Actual Outturn,Valued Added Tax,237582
1988,July,Actual Outturn,Training and Employment Levy,12045
1988,July,Actual Outturn,Motor Vehicle Duties,14824
1988,August,Actual Outturn,Customs,10666
1988,August,Actual Outturn,Excise Duty,175056
